Datenstand,IdLandkreis,Landkreis,AnzahlFall_7d,incidence_7d
2021-07-06,01001,SK Flensburg,4,4.436360409919702
2021-07-06,01002,SK Kiel,13,5.267551074985616
2021-07-06,01003,SK Lübeck,15,6.927446543204175
2021-07-06,01004,SK Neumünster,3,3.7408349543618136
2021-07-06,01051,LK Dithmarschen,0,0.0
2021-07-06,01053,LK Herzogtum Lauenburg,4,2.020008181033133
2021-07-06,01054,LK Nordfriesland,6,3.6155250646275108
2021-07-06,01055,LK Ostholstein,6,2.9919367305112723
2021-07-06,01056,LK Pinneberg,16,5.061641300462192
2021-07-06,01057,LK Plön,2,1.5541706168503178
2021-07-06,01058,LK Rendsburg-Eckernförde,6,2.188998095571657
2021-07-06,01059,LK Schleswig-Flensburg,2,0.994253216409155
2021-07-06,01060,LK Segeberg,13,4.690177685577703
2021-07-06,01061,LK Steinburg,2,1.5265660659629197
2021-07-06,01062,LK Stormarn,10,4.095742066547617
2021-07-06,02000,SK Hamburg,141,7.632955529101861
2021-07-06,03101,SK Braunschweig,22,8.820958597627964
2021-07-06,03102,SK Salzgitter,3,2.8765665301895655
2021-07-06,03103,SK Wolfsburg,6,4.824275755602191
2021-07-06,03151,LK Gifhorn,1,0.5664984166369255
2021-07-06,03153,LK Goslar,3,2.201156340797699
2021-07-06,03154,LK Helmstedt,4,4.381304971685817
2021-07-06,03155,LK Northeim,1,0.7559436066069471
2021-07-06,03157,LK Peine,2,1.4836685187795342
2021-07-06,03158,LK Wolfenbüttel,3,2.5078998846366054
2021-07-06,03159,LK Göttingen,3,0.9201296769424704
2021-07-06,03241,Region Hannover,62,5.358153683946712
2021-07-06,03251,LK Diepholz,1,0.46064056677215337
2021-07-06,03252,LK Hameln-Pyrmont,3,2.0195356414381784
2021-07-06,03254,LK Hildesheim,13,4.713270030491231
2021-07-06,03255,LK Holzminden,2,2.8385704958982654
2021-07-06,03256,LK Nienburg (Weser),1,0.8237910865804433
2021-07-06,03257,LK Schaumburg,5,3.1681662653656066
2021-07-06,03351,LK Celle,28,15.641496891252492
2021-07-06,03352,LK Cuxhaven,3,1.5148607842939235
2021-07-06,03353,LK Harburg,19,7.467643486839261
2021-07-06,03354,LK Lüchow-Dannenberg,1,2.0656035693629677
2021-07-06,03355,LK Lüneburg,2,1.0861360168133856
2021-07-06,03356,LK Osterholz,3,2.6332420476090164
2021-07-06,03357,LK Rotenburg (Wümme),9,5.495109352676118
2021-07-06,03358,LK Heidekreis,0,0.0
2021-07-06,03359,LK Stade,27,13.202159286496636
2021-07-06,03360,LK Uelzen,0,0.0
2021-07-06,03361,LK Verden,3,2.187657237863972
