Datenstand,IdLandkreis,Landkreis,AnzahlFall_7d,incidence_7d
2021-04-16,01001,SK Flensburg,48,53.23632491903642
2021-04-16,01002,SK Kiel,184,74.55610752287332
2021-04-16,01003,SK Lübeck,139,64.19433796702535
2021-04-16,01004,SK Neumünster,68,84.79225896553444
2021-04-16,01051,LK Dithmarschen,101,75.82981087594693
2021-04-16,01053,LK Herzogtum Lauenburg,299,150.99561153222672
2021-04-16,01054,LK Nordfriesland,53,31.937138070876344
2021-04-16,01055,LK Ostholstein,130,64.82529582774423
2021-04-16,01056,LK Pinneberg,299,94.58942180238719
2021-04-16,01057,LK Plön,49,38.077180112832785
2021-04-16,01058,LK Rendsburg-Eckernförde,131,47.79312508664784
2021-04-16,01059,LK Schleswig-Flensburg,77,38.27874883175247
2021-04-16,01060,LK Segeberg,294,106.0701722738342
2021-04-16,01061,LK Steinburg,112,85.4876996939235
2021-04-16,01062,LK Stormarn,234,95.84036435721424
2021-04-16,02000,SK Hamburg,2344,126.89111886677135
2021-04-16,03101,SK Braunschweig,280,112.26674578799228
2021-04-16,03102,SK Salzgitter,316,302.9983411799676
2021-04-16,03103,SK Wolfsburg,178,143.12018074953164
2021-04-16,03151,LK Gifhorn,258,146.15659149232678
2021-04-16,03153,LK Goslar,118,86.57881607137617
2021-04-16,03154,LK Helmstedt,100,109.53262429214541
2021-04-16,03155,LK Northeim,76,57.45171410212798
2021-04-16,03157,LK Peine,207,153.5596916936818
2021-04-16,03158,LK Wolfenbüttel,137,114.52742806507163
2021-04-16,03159,LK Göttingen,302,92.62638747887536
2021-04-16,03241,Region Hannover,1560,134.81806043478826
2021-04-16,03251,LK Diepholz,201,92.58875392120282
2021-04-16,03252,LK Hameln-Pyrmont,127,85.49367548754957
2021-04-16,03254,LK Hildesheim,197,71.42416892359789
2021-04-16,03255,LK Holzminden,60,85.15711487694797
2021-04-16,03256,LK Nienburg (Weser),130,107.09284125545761
2021-04-16,03257,LK Schaumburg,174,110.2521860347231
2021-04-16,03351,LK Celle,228,127.36647468591315
2021-04-16,03352,LK Cuxhaven,148,74.73313202516688
2021-04-16,03353,LK Harburg,200,78.60677354567643
2021-04-16,03354,LK Lüchow-Dannenberg,29,59.902503511526064
2021-04-16,03355,LK Lüneburg,167,90.69235740391768
2021-04-16,03356,LK Osterholz,88,77.24176672986448
2021-04-16,03357,LK Rotenburg (Wümme),113,68.99415076137792
2021-04-16,03358,LK Heidekreis,142,100.94332245704578
2021-04-16,03359,LK Stade,174,85.08058206853387
2021-04-16,03360,LK Uelzen,97,104.99085388953232
2021-04-16,03361,LK Verden,168,122.5088053203824
2021-04-16,03401,SK Delmenhorst,125,161.16762722572494
2021-04-16,03402,SK Emden,62,124.21613607677358
2021-04-16,03403,SK Oldenburg,196,115.9235141385286
2021-04-16,03404,SK Osnabrück,211,127.68455258969689
2021-04-16,03405,SK Wilhelmshaven,48,63.08402002917636
2021-04-16,03451,LK Ammerland,141,112.92738208699413
2021-04-16,03452,LK Aurich,112,59.042457853174064
2021-04-16,03453,LK Cloppenburg,362,212.0903200103116
2021-04-16,03454,LK Emsland,503,153.8442716712443
