Datenstand,IdLandkreis,Landkreis,AnzahlFall_7d,incidence_7d
2020-10-13,01001,SK Flensburg,15,16.63635153719888
2020-10-13,01002,SK Kiel,13,5.267551074985616
2020-10-13,01003,SK Lübeck,36,16.62587170369002
2020-10-13,01004,SK Neumünster,16,19.951119756596338
2020-10-13,01051,LK Dithmarschen,28,21.02212578739123
2020-10-13,01053,LK Herzogtum Lauenburg,13,6.565026588357683
2020-10-13,01054,LK Nordfriesland,11,6.62846261848377
2020-10-13,01055,LK Ostholstein,16,7.978497948030059
2020-10-13,01056,LK Pinneberg,47,14.868571320107685
2020-10-13,01057,LK Plön,4,3.1083412337006355
2020-10-13,01058,LK Rendsburg-Eckernförde,26,9.485658414143847
2020-10-13,01059,LK Schleswig-Flensburg,14,6.959772514864086
2020-10-13,01060,LK Segeberg,60,21.646973933435554
2020-10-13,01061,LK Steinburg,8,6.106264263851679
2020-10-13,01062,LK Stormarn,35,14.335097232916661
2020-10-13,02000,SK Hamburg,513,27.770965861200388
2020-10-13,03101,SK Braunschweig,50,20.04763317642719
2020-10-13,03102,SK Salzgitter,6,5.753133060379131
2020-10-13,03103,SK Wolfsburg,9,7.236413633403285
2020-10-13,03151,LK Gifhorn,13,7.364479416280031
2020-10-13,03153,LK Goslar,6,4.402312681595398
2020-10-13,03154,LK Helmstedt,4,4.381304971685817
2020-10-13,03155,LK Northeim,14,10.58321049249726
2020-10-13,03157,LK Peine,20,14.836685187795345
2020-10-13,03158,LK Wolfenbüttel,8,6.6877330256976135
2020-10-13,03159,LK Göttingen,31,9.508006661738861
2020-10-13,03241,Region Hannover,327,28.25993959113831
2020-10-13,03251,LK Diepholz,25,11.516014169303833
2020-10-13,03252,LK Hameln-Pyrmont,11,7.4049640186066545
2020-10-13,03254,LK Hildesheim,41,14.864928557703115
2020-10-13,03255,LK Holzminden,2,2.8385704958982654
2020-10-13,03256,LK Nienburg (Weser),33,27.185105857154625
2020-10-13,03257,LK Schaumburg,13,8.237232289950576
2020-10-13,03351,LK Celle,31,17.3173715581724
2020-10-13,03352,LK Cuxhaven,5,2.524767973823206
2020-10-13,03353,LK Harburg,50,19.651693386419108
2020-10-13,03354,LK Lüchow-Dannenberg,2,4.1312071387259355
2020-10-13,03355,LK Lüneburg,19,10.318292159727163
2020-10-13,03356,LK Osterholz,19,16.677199634857104
2020-10-13,03357,LK Rotenburg (Wümme),27,16.485328058028355
2020-10-13,03358,LK Heidekreis,11,7.8195531480810105
2020-10-13,03359,LK Stade,10,4.889688624628384
2020-10-13,03360,LK Uelzen,6,6.494279622032925
2020-10-13,03361,LK Verden,28,20.418134220063735
2020-10-13,03401,SK Delmenhorst,78,100.56859938885236
2020-10-13,03402,SK Emden,3,6.0104581972632385
2020-10-13,03403,SK Oldenburg,15,8.87169751060168
2020-10-13,03404,SK Osnabrück,30,18.154201790004297
2020-10-13,03405,SK Wilhelmshaven,3,3.9427512518235224
2020-10-13,03451,LK Ammerland,8,6.407227352453568
2020-10-13,03452,LK Aurich,46,24.249580903982203
2020-10-13,03453,LK Cloppenburg,174,101.94396597180723
2020-10-13,03454,LK Emsland,170,51.99508187696128
2020-10-13,03455,LK Friesland,8,8.105041335710812
2020-10-13,03456,LK Grafschaft Bentheim,84,61.241451714031584
2020-10-13,03457,LK Leer,54,31.62407177493031
2020-10-13,03458,LK Oldenburg,50,38.20001528000611
2020-10-13,03459,LK Osnabrück,97,27.088918677390527
2020-10-13,03460,LK Vechta,75,52.51585978965648
2020-10-13,03461,LK Wesermarsch,57,64.34643215966946
2020-10-13,03462,LK Wittmund,3,5.2699996486666905
2020-10-13,04011,SK Bremen,470,82.81077385787205
2020-10-13,04012,SK Bremerhaven,12,10.559383332013411
2020-10-13,05111,SK Düsseldorf,342,54.99479800667977
2020-10-13,05112,SK Duisburg,272,54.54333989724997
2020-10-13,05113,SK Essen,286,49.076806918800195
2020-10-13,05114,SK Krefeld,70,30.780460563634204
2020-10-13,05116,SK Mönchengladbach,68,26.050246328064542
2020-10-13,05117,SK Mülheim a.d.Ruhr,47,27.544657508556423
2020-10-13,05119,SK Oberhausen,46,21.825359169497638
2020-10-13,05120,SK Remscheid,50,44.90829725700121
2020-10-13,05122,SK Solingen,98,61.54039373292725
2020-10-13,05124,SK Wuppertal,245,68.99464939453675
2020-10-13,05154,LK Kleve,83,26.56297505320596
2020-10-13,05158,LK Mettmann,223,45.92540725333114
2020-10-13,05162,LK Rhein-Kreis Neuss,82,18.15243618975937
2020-10-13,05166,LK Viersen,60,20.076088374941026
2020-10-13,05170,LK Wesel,125,27.175330886828878
2020-10-13,05314,SK Bonn,126,38.2196904205076
2020-10-13,05315,SK Köln,718,66.00095784119875
2020-10-13,05316,SK Leverkusen,102,62.29806570613636
2020-10-13,05334,StädteRegion Aachen,276,49.54885409298669
2020-10-13,05358,LK Düren,89,33.630846666011685
2020-10-13,05362,LK Rhein-Erft-Kreis,222,47.17231707446639
2020-10-13,05366,LK Euskirchen,35,18.073284587102904
2020-10-13,05370,LK Heinsberg,57,22.30439631390503
2020-10-13,05374,LK Oberbergischer Kreis,79,29.03803247113656
2020-10-13,05378,LK Rheinisch-Bergischer Kreis,103,36.360940583398936
2020-10-13,05382,LK Rhein-Sieg-Kreis,253,42.113042725596074
2020-10-13,05512,SK Bottrop,19,16.161272487560073
2020-10-13,05513,SK Gelsenkirchen,153,58.92661133470701
