Datenstand,IdLandkreis,Landkreis,AnzahlFall_7d,incidence_7d
2021-09-20,01001,SK Flensburg,21,23.35045700180132
2021-09-20,01002,SK Kiel,114,46.22852299869019
2021-09-20,01003,SK Lübeck,75,34.74699554311871
2021-09-20,01004,SK Neumünster,62,77.59214066704212
2021-09-20,01051,LK Dithmarschen,50,37.523170557819455
2021-09-20,01053,LK Herzogtum Lauenburg,61,30.629870651562626
2021-09-20,01054,LK Nordfriesland,44,26.324133846255094
2021-09-20,01055,LK Ostholstein,37,18.36346761825825
2021-09-20,01056,LK Pinneberg,192,60.55158711386537
2021-09-20,01057,LK Plön,39,30.150054502021597
2021-09-20,01058,LK Rendsburg-Eckernförde,120,43.67368478518006
2021-09-20,01059,LK Schleswig-Flensburg,24,11.84325452634384
2021-09-20,01060,LK Segeberg,82,29.495660181218458
2021-09-20,01061,LK Steinburg,29,22.187198751396263
2021-09-20,01062,LK Stormarn,105,42.85906714179004
2021-09-20,02000,SK Hamburg,1122,60.56752090982997
2021-09-20,03101,SK Braunschweig,138,55.51957064865365
2021-09-20,03102,SK Salzgitter,159,153.08185546762175
2021-09-20,03103,SK Wolfsburg,92,74.28940568475453
2021-09-20,03151,LK Gifhorn,147,82.94447234337883
2021-09-20,03153,LK Goslar,75,55.68424803991447
2021-09-20,03154,LK Helmstedt,44,48.077973731943445
2021-09-20,03155,LK Northeim,35,26.56102965728683
2021-09-20,03157,LK Peine,112,82.44751332410706
2021-09-20,03158,LK Wolfenbüttel,46,38.53855111803688
2021-09-20,03159,LK Göttingen,91,28.095091077493056
2021-09-20,03241,Region Hannover,1042,90.19068145032155
2021-09-20,03251,LK Diepholz,72,33.016618364576836
2021-09-20,03252,LK Hameln-Pyrmont,101,67.9768474895679
2021-09-20,03254,LK Hildesheim,199,72.24174483780095
2021-09-20,03255,LK Holzminden,37,52.70129759140826
2021-09-20,03256,LK Nienburg (Weser),100,82.2064203214271
2021-09-20,03257,LK Schaumburg,86,54.29087282047397
2021-09-20,03351,LK Celle,94,52.40096774553198
2021-09-20,03352,LK Cuxhaven,95,47.78047136692384
2021-09-20,03353,LK Harburg,200,78.1201174926567
