Datenstand,IdLandkreis,Landkreis,AnzahlFall_7d,incidence_7d
2021-09-15,01001,SK Flensburg,35,38.91742833633553
2021-09-15,01002,SK Kiel,146,59.20495050709446
2021-09-15,01003,SK Lübeck,77,35.673582090935206
2021-09-15,01004,SK Neumünster,63,78.84362680683311
2021-09-15,01051,LK Dithmarschen,63,47.27919490285251
2021-09-15,01053,LK Herzogtum Lauenburg,95,47.70225757210573
2021-09-15,01054,LK Nordfriesland,41,24.529306538555883
2021-09-15,01055,LK Ostholstein,56,27.793356395201677
2021-09-15,01056,LK Pinneberg,170,53.613384423734956
2021-09-15,01057,LK Plön,41,31.69621114315091
2021-09-15,01058,LK Rendsburg-Eckernförde,119,43.30973741197023
2021-09-15,01059,LK Schleswig-Flensburg,43,21.21916435969938
2021-09-15,01060,LK Segeberg,89,32.01358239181028
2021-09-15,01061,LK Steinburg,32,24.482426208437257
2021-09-15,01062,LK Stormarn,109,44.491793509096325
2021-09-15,02000,SK Hamburg,1191,64.29226150054144
2021-09-15,03101,SK Braunschweig,150,60.34735940071049
2021-09-15,03102,SK Salzgitter,175,168.48631891090443
2021-09-15,03103,SK Wolfsburg,99,79.94186046511628
2021-09-15,03151,LK Gifhorn,174,98.17917134522392
2021-09-15,03153,LK Goslar,96,71.27583749109053
2021-09-15,03154,LK Helmstedt,75,81.95109158853997
2021-09-15,03155,LK Northeim,71,53.880945876210426
2021-09-15,03157,LK Peine,163,119.99057742704868
2021-09-15,03158,LK Wolfenbüttel,44,36.862961938991795
2021-09-15,03159,LK Göttingen,138,42.605742513121335
2021-09-15,03241,Region Hannover,1136,98.3268849592757
2021-09-15,03251,LK Diepholz,107,49.066363402912806
2021-09-15,03252,LK Hameln-Pyrmont,119,80.09153318077803
2021-09-15,03254,LK Hildesheim,225,81.68036476635785
2021-09-15,03255,LK Holzminden,52,74.06668850684405
2021-09-15,03256,LK Nienburg (Weser),69,56.722430021784696
2021-09-15,03257,LK Schaumburg,124,78.27986313649735
2021-09-15,03351,LK Celle,137,76.37162320359448
2021-09-15,03352,LK Cuxhaven,71,35.70961544264835
2021-09-15,03353,LK Harburg,247,96.47834510343104
