Datenstand,IdLandkreis,Landkreis,AnzahlFall_7d,incidence_7d
2022-02-25,01001,SK Flensburg,1552,1725.7099650855073
2022-02-25,01002,SK Kiel,1890,766.4202497151268
2022-02-25,01003,SK Lübeck,1779,824.1987342827757
2022-02-25,01004,SK Neumünster,806,1008.6978286715474
2022-02-25,01051,LK Dithmarschen,1430,1073.1626779536364
2022-02-25,01053,LK Herzogtum Lauenburg,1626,816.4617980236202
2022-02-25,01054,LK Nordfriesland,1969,1178.0049896199155
2022-02-25,01055,LK Ostholstein,1579,783.6733883575615
2022-02-25,01056,LK Pinneberg,1817,573.0324676348614
2022-02-25,01057,LK Plön,824,637.0165361452769
2022-02-25,01058,LK Rendsburg-Eckernförde,2476,901.1336960675487
2022-02-25,01059,LK Schleswig-Flensburg,2504,1235.6462222485407
2022-02-25,01060,LK Segeberg,2340,841.7054246835511
2022-02-25,01061,LK Steinburg,1097,839.2881734579896
2022-02-25,01062,LK Stormarn,1855,757.1768528382908
2022-02-25,02000,SK Hamburg,11779,635.8510060578317
2022-02-25,03101,SK Braunschweig,2914,1172.3480352911358
2022-02-25,03102,SK Salzgitter,1410,1357.518340939287
2022-02-25,03103,SK Wolfsburg,2342,1891.1498708010336
2022-02-25,03151,LK Gifhorn,2609,1472.1233220671793
2022-02-25,03153,LK Goslar,1898,1409.182703730102
2022-02-25,03154,LK Helmstedt,1148,1254.3980419152517
2022-02-25,03155,LK Northeim,2382,1807.6677898187781
2022-02-25,03157,LK Peine,1619,1191.8082506404405
2022-02-25,03158,LK Wolfenbüttel,1550,1298.5816137599384
2022-02-25,03159,LK Göttingen,3128,965.7301636307502
2022-02-25,03241,Region Hannover,16178,1400.2925571048966
2022-02-25,03251,LK Diepholz,2179,999.2112696724018
2022-02-25,03252,LK Hameln-Pyrmont,2181,1467.8960829182931
2022-02-25,03254,LK Hildesheim,3103,1126.4629860889263
2022-02-25,03255,LK Holzminden,881,1254.8606264332616
2022-02-25,03256,LK Nienburg (Weser),1514,1244.6052036664064
2022-02-25,03257,LK Schaumburg,1411,890.7490877870787
2022-02-25,03351,LK Celle,2192,1221.9459712575117
2022-02-25,03352,LK Cuxhaven,2169,1090.903604156398
2022-02-25,03353,LK Harburg,2136,834.3228548215736
2022-02-25,03354,LK Lüchow-Dannenberg,445,917.4690225346886
2022-02-25,03355,LK Lüneburg,1641,890.7102342117404
2022-02-25,03356,LK Osterholz,787,686.496859734822
2022-02-25,03357,LK Rotenburg (Wümme),1337,812.8351349050984
2022-02-25,03358,LK Heidekreis,1479,1049.792383859176
2022-02-25,03359,LK Stade,1616,786.9222865546342
2022-02-25,03360,LK Uelzen,1079,1165.6547760516821
2022-02-25,03361,LK Verden,1126,818.4686059865963
2022-02-25,03401,SK Delmenhorst,705,909.6422073984234
2022-02-25,03402,SK Emden,630,1263.1832217187311
2022-02-25,03403,SK Oldenburg,1095,645.6177589104095
