Datenstand,IdLandkreis,Landkreis,AnzahlFall_7d,incidence_7d
2022-01-30,01001,SK Flensburg,1086,1207.552204950297
2022-01-30,01002,SK Kiel,2312,937.546887482208
2022-01-30,01003,SK Lübeck,2529,1171.6686897139627
2022-01-30,01004,SK Neumünster,1091,1365.371378511983
2022-01-30,01051,LK Dithmarschen,737,553.0915340222587
2022-01-30,01053,LK Herzogtum Lauenburg,1894,951.0323772796658
2022-01-30,01054,LK Nordfriesland,1409,842.9705588493961
2022-01-30,01055,LK Ostholstein,1521,754.8874120911026
2022-01-30,01056,LK Pinneberg,3552,1120.2043616065093
2022-01-30,01057,LK Plön,681,526.466336304531
2022-01-30,01058,LK Rendsburg-Eckernförde,1987,723.1634305679399
2022-01-30,01059,LK Schleswig-Flensburg,1734,855.6751395283424
2022-01-30,01060,LK Segeberg,2779,999.6151176049524
2022-01-30,01061,LK Steinburg,874,668.6762658179425
2022-01-30,01062,LK Stormarn,3470,1416.3901236382042
2022-01-30,02000,SK Hamburg,35037,1891.3584938660538
2022-01-30,03101,SK Braunschweig,1990,800.6083013827591
2022-01-30,03102,SK Salzgitter,1442,1388.3272678258527
2022-01-30,03103,SK Wolfsburg,1302,1051.3565891472867
2022-01-30,03151,LK Gifhorn,1255,708.131379530207
2022-01-30,03153,LK Goslar,1450,1076.5621287716797
2022-01-30,03154,LK Helmstedt,678,740.8378679604012
2022-01-30,03155,LK Northeim,484,367.301095832195
2022-01-30,03157,LK Peine,1428,1051.205794882365
2022-01-30,03158,LK Wolfenbüttel,705,590.6451856133913
2022-01-30,03159,LK Göttingen,1399,431.9234331583822
2022-01-30,03241,Region Hannover,14378,1244.4929154440722
2022-01-30,03251,LK Diepholz,2178,998.7527055284494
2022-01-30,03252,LK Hameln-Pyrmont,1600,1076.8609503297887
2022-01-30,03254,LK Hildesheim,1833,665.4227049632619
2022-01-30,03255,LK Holzminden,573,816.1579329696468
2022-01-30,03256,LK Nienburg (Weser),1265,1039.911217066053
2022-01-30,03257,LK Schaumburg,1434,905.2687398204614
2022-01-30,03351,LK Celle,1380,769.2908030727035
2022-01-30,03352,LK Cuxhaven,2100,1056.199893374106
2022-01-30,03353,LK Harburg,3400,1328.041997375164
2022-01-30,03354,LK Lüchow-Dannenberg,304,626.7653547203266
2022-01-30,03355,LK Lüneburg,1896,1029.120416858903
2022-01-30,03356,LK Osterholz,1026,894.9755757152827
2022-01-30,03357,LK Rotenburg (Wümme),1582,961.7839816154567
2022-01-30,03358,LK Heidekreis,407,288.8881002235866
2022-01-30,03359,LK Stade,1472,716.8004986438252
2022-01-30,03360,LK Uelzen,539,582.287232893287
2022-01-30,03361,LK Verden,1608,1168.8255048192245
2022-01-30,03401,SK Delmenhorst,888,1145.762099531631
2022-01-30,03402,SK Emden,419,840.1170950796005
2022-01-30,03403,SK Oldenburg,1932,1139.1173609268594
2022-01-30,03404,SK Osnabrück,493,300.2015552023772
