Datenstand,IdLandkreis,Landkreis,AnzahlFall_7d,incidence_7d
2021-03-29,01001,SK Flensburg,88,97.59992901823344
2021-03-29,01002,SK Kiel,153,61.995024190215325
2021-03-29,01003,SK Lübeck,140,64.6561677365723
2021-03-29,01004,SK Neumünster,61,76.06364407202355
2021-03-29,01051,LK Dithmarschen,54,40.54267116139737
2021-03-29,01053,LK Herzogtum Lauenburg,164,82.82033542235847
2021-03-29,01054,LK Nordfriesland,37,22.295737898536313
2021-03-29,01055,LK Ostholstein,74,36.900553009639026
2021-03-29,01056,LK Pinneberg,349,110.40705086633155
2021-03-29,01057,LK Plön,34,26.420900486455402
2021-03-29,01058,LK Rendsburg-Eckernförde,118,43.05029587957592
2021-03-29,01059,LK Schleswig-Flensburg,88,43.74714152200282
2021-03-29,01060,LK Segeberg,317,114.36817894831783
2021-03-29,01061,LK Steinburg,92,70.22203903429431
2021-03-29,01062,LK Stormarn,222,90.9254738773571
2021-03-29,02000,SK Hamburg,2533,137.12252734195044
2021-03-29,03101,SK Braunschweig,285,114.27150910563499
2021-03-29,03102,SK Salzgitter,236,226.28990037491252
2021-03-29,03103,SK Wolfsburg,144,115.78261813445256
2021-03-29,03151,LK Gifhorn,319,180.71299490717922
2021-03-29,03153,LK Goslar,60,44.02312681595398
2021-03-29,03154,LK Helmstedt,67,73.38685827573742
2021-03-29,03155,LK Northeim,53,40.065011150168196
2021-03-29,03157,LK Peine,229,169.88004540025668
2021-03-29,03158,LK Wolfenbüttel,105,87.77649596228119
2021-03-29,03159,LK Göttingen,202,61.955398247459684
2021-03-29,03241,Region Hannover,1673,144.58372763294918
2021-03-29,03251,LK Diepholz,154,70.93864728291162
2021-03-29,03252,LK Hameln-Pyrmont,149,100.30360352476288
2021-03-29,03254,LK Hildesheim,297,107.6800922350689
2021-03-29,03255,LK Holzminden,61,86.57640012489709
2021-03-29,03256,LK Nienburg (Weser),56,46.13230084850482
2021-03-29,03257,LK Schaumburg,205,129.89481687998986
2021-03-29,03351,LK Celle,268,149.7114702448453
2021-03-29,03352,LK Cuxhaven,129,65.1390137246387
2021-03-29,03353,LK Harburg,299,117.51712645078626
2021-03-29,03354,LK Lüchow-Dannenberg,26,53.70569280343716
2021-03-29,03355,LK Lüneburg,144,78.20179321056375
2021-03-29,03356,LK Osterholz,89,78.11951407906749
2021-03-29,03357,LK Rotenburg (Wümme),166,101.35423917158174
2021-03-29,03358,LK Heidekreis,87,61.84555671664072
2021-03-29,03359,LK Stade,159,77.74604913159129
2021-03-29,03360,LK Uelzen,76,82.26087521241706
2021-03-29,03361,LK Verden,113,82.40175595954292
2021-03-29,03401,SK Delmenhorst,102,131.51278381619156
2021-03-29,03402,SK Emden,65,130.22659427403684
2021-03-29,03403,SK Oldenburg,150,88.71697510601679
2021-03-29,03404,SK Osnabrück,292,176.7008974227085
2021-03-29,03405,SK Wilhelmshaven,47,61.76976961190185
2021-03-29,03451,LK Ammerland,132,105.71925131548387
2021-03-29,03452,LK Aurich,140,73.80307231646756
2021-03-29,03453,LK Cloppenburg,332,194.51377415310344
