Datenstand,IdLandkreis,Landkreis,AnzahlFall_7d,incidence_7d
2021-02-10,01001,SK Flensburg,102,113.1271904529524
2021-02-10,01002,SK Kiel,80,32.415698922988405
2021-02-10,01003,SK Lübeck,242,111.76280423036069
2021-02-10,01004,SK Neumünster,33,41.14918449797995
2021-02-10,01051,LK Dithmarschen,21,15.76659434054342
2021-02-10,01053,LK Herzogtum Lauenburg,199,100.49540700639837
2021-02-10,01054,LK Nordfriesland,72,43.386300775530124
2021-02-10,01055,LK Ostholstein,160,79.78497948030059
2021-02-10,01056,LK Pinneberg,300,94.90577438366608
2021-02-10,01057,LK Plön,28,21.75838863590445
2021-02-10,01058,LK Rendsburg-Eckernförde,64,23.34931301943101
2021-02-10,01059,LK Schleswig-Flensburg,126,62.63795263377677
2021-02-10,01060,LK Segeberg,110,39.686118877965185
2021-02-10,01061,LK Steinburg,69,52.666529275720734
2021-02-10,01062,LK Stormarn,149,61.02655679155949
2021-02-10,02000,SK Hamburg,1083,58.62759459586748
2021-02-10,03101,SK Braunschweig,118,47.31241429636817
2021-02-10,03102,SK Salzgitter,60,57.53133060379132
2021-02-10,03103,SK Wolfsburg,53,42.61443584115268
2021-02-10,03151,LK Gifhorn,78,44.18687649768019
2021-02-10,03153,LK Goslar,77,56.49634608047428
2021-02-10,03154,LK Helmstedt,76,83.24479446203053
2021-02-10,03155,LK Northeim,30,22.678308198208413
2021-02-10,03157,LK Peine,137,101.6312935363981
2021-02-10,03158,LK Wolfenbüttel,59,49.322031064519905
2021-02-10,03159,LK Göttingen,172,52.754101478034976
2021-02-10,03241,Region Hannover,1149,99.29868682023826
2021-02-10,03251,LK Diepholz,74,34.08740194113935
2021-02-10,03252,LK Hameln-Pyrmont,84,56.546997960269
2021-02-10,03254,LK Hildesheim,198,71.7867281567126
2021-02-10,03255,LK Holzminden,30,42.578557438473986
2021-02-10,03256,LK Nienburg (Weser),153,126.04003624680782
2021-02-10,03257,LK Schaumburg,73,46.25522747433785
2021-02-10,03351,LK Celle,94,52.51073956349051
2021-02-10,03352,LK Cuxhaven,163,82.3074359466365
2021-02-10,03353,LK Harburg,90,35.373048095554395
2021-02-10,03354,LK Lüchow-Dannenberg,18,37.18086424853342
2021-02-10,03355,LK Lüneburg,50,27.153400420334638
2021-02-10,03356,LK Osterholz,23,20.188189031669125
2021-02-10,03357,LK Rotenburg (Wümme),43,26.25441135167479
2021-02-10,03358,LK Heidekreis,29,20.615185572213573
2021-02-10,03359,LK Stade,59,28.849162885307464
2021-02-10,03360,LK Uelzen,116,125.55607269263656
2021-02-10,03361,LK Verden,30,21.876572378639715
2021-02-10,03401,SK Delmenhorst,43,55.44166376564937
2021-02-10,03402,SK Emden,13,26.045318854807366
2021-02-10,03403,SK Oldenburg,65,38.444022545940605
2021-02-10,03404,SK Osnabrück,67,40.54438399767626
2021-02-10,03405,SK Wilhelmshaven,17,22.34225709366663
2021-02-10,03451,LK Ammerland,35,28.03161966698436
2021-02-10,03452,LK Aurich,63,33.21138254241041
2021-02-10,03453,LK Cloppenburg,145,84.95330497650602
2021-02-10,03454,LK Emsland,139,42.51362576998599
2021-02-10,03455,LK Friesland,23,23.301993840168585
2021-02-10,03456,LK Grafschaft Bentheim,105,76.55181464253948
2021-02-10,03457,LK Leer,63,36.89475040408536
2021-02-10,03458,LK Oldenburg,49,37.436014974405985
2021-02-10,03459,LK Osnabrück,184,51.385165326184094
2021-02-10,03460,LK Vechta,290,203.06132452000506
2021-02-10,03461,LK Wesermarsch,120,135.46617296772519
2021-02-10,03462,LK Wittmund,25,43.916663738889085
2021-02-10,04011,SK Bremen,339,59.72947305918856
2021-02-10,04012,SK Bremerhaven,130,114.39331943014527
2021-02-10,05111,SK Düsseldorf,310,49.84908591248752
2021-02-10,05112,SK Duisburg,339,67.9786478866461
2021-02-10,05113,SK Essen,558,95.75125265975703
2021-02-10,05114,SK Krefeld,145,63.75952545324228
2021-02-10,05116,SK Mönchengladbach,119,45.58793107411295
2021-02-10,05117,SK Mülheim a.d.Ruhr,133,77.94552018378734
2021-02-10,05119,SK Oberhausen,115,54.56339792374409
2021-02-10,05120,SK Remscheid,71,63.769782104941704
2021-02-10,05122,SK Solingen,134,84.14706898175767
2021-02-10,05124,SK Wuppertal,247,69.55787102224726
2021-02-10,05154,LK Kleve,197,63.047061270862336
2021-02-10,05158,LK Mettmann,511,105.23714397512201
2021-02-10,05162,LK Rhein-Kreis Neuss,240,53.12908153100303
2021-02-10,05166,LK Viersen,186,62.23587396231718
2021-02-10,05170,LK Wesel,255,55.43767500913091
2021-02-10,05314,SK Bonn,250,75.83271908830872
2021-02-10,05315,SK Köln,884,81.26023221674052
2021-02-10,05316,SK Leverkusen,122,74.51337270733957
2021-02-10,05334,StädteRegion Aachen,355,63.73131595293577
2021-02-10,05358,LK Düren,181,68.39531737694512
2021-02-10,05362,LK Rhein-Erft-Kreis,359,76.28316139519565
2021-02-10,05366,LK Euskirchen,139,71.7767587887801
2021-02-10,05370,LK Heinsberg,150,58.69577977343429
2021-02-10,05374,LK Oberbergischer Kreis,194,71.30858606836068
2021-02-10,05378,LK Rheinisch-Bergischer Kreis,201,70.95678696372026
2021-02-10,05382,LK Rhein-Sieg-Kreis,372,61.92115373091597
2021-02-10,05512,SK Bottrop,76,64.64508995024029
2021-02-10,05513,SK Gelsenkirchen,209,80.49452136571088
2021-02-10,05515,SK Münster,69,21.884405933528498
2021-02-10,05554,LK Borken,194,52.24336791987914
2021-02-10,05558,LK Coesfeld,67,30.373641119563345
2021-02-10,05562,LK Recklinghausen,556,90.5335454467
2021-02-10,05566,LK Steinfurt,170,37.927803310874125
2021-02-10,05570,LK Warendorf,173,62.266052404261444
2021-02-10,05711,SK Bielefeld,101,30.221876449378357
2021-02-10,05754,LK Gütersloh,172,47.131293534792206
2021-02-10,05758,LK Herford,177,70.63668797739626
2021-02-10,05762,LK Höxter,107,76.29179114587419
2021-02-10,05766,LK Lippe,247,71.07627318611625
2021-02-10,05770,LK Minden-Lübbecke,176,56.69938693787874
2021-02-10,05774,LK Paderborn,122,39.63110587027634
2021-02-10,05911,SK Bochum,248,67.83611014614851
2021-02-10,05913,SK Dortmund,378,64.25839354016149
2021-02-10,05914,SK Hagen,242,128.25540845637727
2021-02-10,05915,SK Hamm,136,75.59083127681808
2021-02-10,05916,SK Herne,147,93.96033212101068
2021-02-10,05954,LK Ennepe-Ruhr-Kreis,251,77.44379925086237
2021-02-10,05958,LK Hochsauerlandkreis,223,85.84285752780269
2021-02-10,05962,LK Märkischer Kreis,312,76.05637922880781
2021-02-10,05966,LK Olpe,92,68.67978052331006
2021-02-10,05970,LK Siegen-Wittgenstein,180,64.99508925992258
2021-02-10,05974,LK Soest,194,64.28417582053449
2021-02-10,05978,LK Unna,248,62.802140337460216
2021-02-10,06411,SK Darmstadt,91,56.91840028021366
2021-02-10,06412,SK Frankfurt am Main,476,62.35426655138987
2021-02-10,06413,SK Offenbach,69,52.962849247774024
2021-02-10,06414,SK Wiesbaden,186,66.7925910497928
2021-02-10,06431,LK Bergstraße,298,110.23156025745358
2021-02-10,06432,LK Darmstadt-Dieburg,159,53.38365050160487
2021-02-10,06433,LK Groß-Gerau,176,63.83148487991702
2021-02-10,06434,LK Hochtaunuskreis,125,52.76176165190745
2021-02-10,06435,LK Main-Kinzig-Kreis,319,75.85268884703913
2021-02-10,06436,LK Main-Taunus-Kreis,125,52.39815893828755
2021-02-10,06437,LK Odenwaldkreis,70,72.38658573156985
2021-02-10,06438,LK Offenbach,269,75.6015097818236
2021-02-10,06439,LK Rheingau-Taunus-Kreis,93,49.690104723231464
2021-02-10,06440,LK Wetteraukreis,279,90.4848235221623
2021-02-10,06531,LK Gießen,212,78.3189502305237
2021-02-10,06532,LK Lahn-Dill-Kreis,286,112.90112466889573
2021-02-10,06533,LK Limburg-Weilburg,120,69.80315510261063
2021-02-10,06534,LK Marburg-Biedenkopf,129,52.20896537210018
