Datenstand,IdLandkreis,Landkreis,AnzahlFall_7d,incidence_7d
2021-03-06,01001,SK Flensburg,99,109.79992014551262
2021-03-06,01002,SK Kiel,145,58.75345429791648
2021-03-06,01003,SK Lübeck,61,28.171615942363644
2021-03-06,01004,SK Neumünster,33,41.14918449797995
2021-03-06,01051,LK Dithmarschen,29,21.772915994083775
2021-03-06,01053,LK Herzogtum Lauenburg,122,61.61024952151055
2021-03-06,01054,LK Nordfriesland,62,37.36042566781761
2021-03-06,01055,LK Ostholstein,57,28.423398939857083
2021-03-06,01056,LK Pinneberg,123,38.91136749730309
2021-03-06,01057,LK Plön,21,16.318791476928336
2021-03-06,01058,LK Rendsburg-Eckernförde,101,36.84813460878956
2021-03-06,01059,LK Schleswig-Flensburg,116,57.66668655173099
2021-03-06,01060,LK Segeberg,140,50.509605844682966
2021-03-06,01061,LK Steinburg,17,12.975811560684818
2021-03-06,01062,LK Stormarn,165,67.57974409803569
2021-03-06,02000,SK Hamburg,1295,70.10409510770857
2021-03-06,03101,SK Braunschweig,133,53.32670424929633
2021-03-06,03102,SK Salzgitter,84,80.54386284530784
2021-03-06,03103,SK Wolfsburg,49,39.398252004084554
2021-03-06,03151,LK Gifhorn,61,34.556403414852454
2021-03-06,03153,LK Goslar,34,24.946438529040588
2021-03-06,03154,LK Helmstedt,23,25.192503587193446
2021-03-06,03155,LK Northeim,32,24.19019541142231
2021-03-06,03157,LK Peine,117,86.79460834860275
2021-03-06,03158,LK Wolfenbüttel,70,58.51766397485412
2021-03-06,03159,LK Göttingen,125,38.338736539269604
2021-03-06,03241,Region Hannover,1118,96.6196099782649
2021-03-06,03251,LK Diepholz,72,33.16612080759504
2021-03-06,03252,LK Hameln-Pyrmont,83,55.873819413122945
2021-03-06,03254,LK Hildesheim,155,56.196681132780064
2021-03-06,03255,LK Holzminden,34,48.25569843027051
2021-03-06,03256,LK Nienburg (Weser),68,56.01779388747014
2021-03-06,03257,LK Schaumburg,75,47.52249398048409
2021-03-06,03351,LK Celle,79,44.13136622889096
2021-03-06,03352,LK Cuxhaven,110,55.54489542411052
2021-03-06,03353,LK Harburg,143,56.203843085158645
